pr_id,level,task_type,title,n_commits,n_files,lines_added,lines_deleted,lines_changed
3205734508,2.0,feat,Convert Build.Compose from string to struct with auto-detection,1.0,6.0,136.0,6.0,142.0
3107321792,2.0,fix,"Fix comprehensive Windows compatibility issues - shell execution, file locking, and cross-platform support",10.0,14.0,1395.0,680.0,2075.0
3234660269,2.0,fix,"Fix T-SQL parsing issues: OPENJSON, FOR JSON/XML, SET TRANSACTION, IF/ELSE, EXEC, and multiple BEGIN/END blocks",30.0,48.0,7708.0,3094.0,10802.0
3241611660,2.0,build,Update typos pre-commit hook configuration,1.0,1.0,2.0,4.0,6.0
3275448809,2.0,feat,Add DAE support for GPU kernels with mass matrices and initialization,1.0,11.0,184.0,24.0,208.0
3204479528,2.0,fix,🔧 ToolSandbox统一重构：修复process API缺失和代码重复问题,2.0,1.0,87.0,51.0,138.0
3037457814,2.0,feat,Add Language Server to code analysis category,1.0,1.0,1.0,0.0,1.0
2915198291,2.0,docs,docs: improve documentation structure with visual diagrams,3.0,5.0,338.0,42.0,380.0
3132410695,2.0,test,Add comprehensive test suite for maze generator,3.0,4.0,833.0,110.0,943.0
3223924413,2.0,fix,fix: correct file ownership in java-connector-base Dockerfile,1.0,1.0,3.0,0.0,3.0
3088611576,2.0,feat,Add dot notation access for workflow outputs,9.0,116.0,7690.0,2234.0,9924.0
2915784381,2.0,refactor,refactor: migrate ArtistNationalityFilter spec from Enzyme to RTL ,3.0,2.0,105.0,81.0,186.0
3203856259,2.0,docs,docs: complete JSDoc documentation coverage for Effect library,10.0,63.0,13992.0,244.0,14236.0
3088176007,2.0,feat,feat: Add Kura Explorer database layer,2.0,89.0,452.0,17835.0,18287.0
3256172444,2.0,feat,feat: Support llm-based message summarization by introducing Transformer mechanism,1.0,32.0,5974.0,7.0,5981.0
3163243464,2.0,fix,fix: add offline flag support to blocks command,1.0,2.0,2.0,1.0,3.0
3214876564,2.0,fix,fix: critical issues in action chaining implementation,7.0,5.0,331.0,52.0,383.0
3235103212,2.0,feat,Implement webhook test functionality with example payloads,8.0,96.0,5423.0,1094.0,6517.0
3070160046,2.0,chore,chore: upgrade color-related dependencies,1.0,2.0,13.0,13.0,26.0
3267198858,2.0,fix,Fix CI and consolidate AnyCodable implementation,13.0,61.0,1597.0,159.0,1756.0
3272275087,2.0,feat,feat: Add tag support for API Keys and fix OAuth token exchange,1.0,6.0,486.0,157.0,643.0
3245161961,2.0,feat,feat(gfql): PR 1.2 - Basic Working DAG execution,24.0,39.0,3807.0,534.0,4341.0
3165431934,2.0,feat,feat: Update slides presentation with new content and improvements,6.0,11.0,301.0,115.0,416.0
3207921071,2.0,refactor,Step 4: Refactor main server to use MCPProxyService,3.0,3.0,126.0,236.0,362.0
3147421099,2.0,feat,feat: add Claude Code SDK provider integration,8.0,246.0,23542.0,21600.0,45142.0
3255598859,2.0,chore,chore(ci): Make the core CICD workflows failfast (#32768),6.0,2.0,289.0,195.0,484.0
3079303421,2.0,feat,feat: implement Query Node with RAG functionality and Vector Store integration,30.0,55.0,3847.0,967.0,4814.0
3165597086,2.0,feat,Implement automated demo recording CI/CD pipeline (closes #68),6.0,6.0,1363.0,888.0,2251.0
3226475067,2.0,chore,chore: release test to staging,30.0,177.0,30411.0,24840.0,55251.0
3231950376,2.0,feat,feat(swagger): Add Swagger annotations to Batch 2 - Content Management Core,7.0,157.0,12061.0,1827.0,13888.0
2974498229,2.0,build,Add pre-commit hook for Rust code formatting,1.0,1.0,4.0,0.0,4.0
2889940415,2.0,feat,feat: enhance audio quality for playback,1.0,7.0,1182.0,1117.0,2299.0
2876006908,2.0,feat,Improve list and collection materializers performance,7.0,6.0,825.0,229.0,1054.0
3146518192,2.0,ci,Add Python 3.14 and Windows ARM64 support to CI,1.0,1.0,3.0,3.0,6.0
3119417980,2.0,feat,feat: Add includeStackTrace option to reduce LLM token usage by 80-90%,1.0,7.0,96.0,38.0,134.0
3255142482,2.0,refactor,refactor(webhooks): use REQUEST_TIME_OUT constant for outgoing webhooks,1.0,3.0,7.0,11.0,18.0
3254649795,2.0,feat,Add Base.active_manifest(),2.0,5.0,29.0,9.0,38.0
3231954470,2.0,feat,feat: add Swagger annotations to Batch 8 - Legacy & Utility Resources,9.0,244.0,36848.0,6613.0,43461.0
3266170682,2.0,feat,feat: Implement unified session history showing both local and Convex sessions,4.0,10.0,1026.0,176.0,1202.0
2964743634,2.0,feat,Add TTY environment check to `cargo insta review`,1.0,2.0,9.0,0.0,9.0
3212306696,2.0,fix,Fix: Resolve browser multiplication issue in Puppeteer MCP server,1.0,1.0,133.0,37.0,170.0
3271050710,2.0,fix,🚀 Alpha.74: SQLite & Async/Await Fixes,1.0,7.0,22.0,27.0,49.0
3154662508,2.0,feat,Add comprehensive API v1 with OAuth and API key authentication,11.0,77.0,6687.0,2439.0,9126.0
3216706697,2.0,feat,feat: Add comprehensive GitHub Actions workflow documentation,4.0,61.0,5960.0,850.0,6810.0
3208559377,2.0,fix,修复init命令循环依赖问题 - Issue #129,8.0,17.0,631.0,850.0,1481.0
3194442530,2.0,feat,Add DeciLM/Nemotron-NAS architecture support,1.0,5.0,711.0,0.0,711.0
3193198936,2.0,feat,feat(telemetry): implement performance testing framework (Phase 8),8.0,13.0,2035.0,269.0,2304.0
3260887009,2.0,fix,Fix startup errors and implement real-time Effect streaming,15.0,14.0,1255.0,850.0,2105.0
3115027048,2.0,feat,feat: Add version setting to blue-green deploy command,3.0,4.0,341.0,95.0,436.0
2905716327,2.0,refactor,refactor(twap): implement strategy pattern for accumulator updates,2.0,4.0,99.0,63.0,162.0
3140073726,2.0,feat,feat: add custom field support for property group options,3.0,6.0,42.0,2.0,44.0
3208990831,2.0,feat,feat: implement immutable HashSet module,6.0,5.0,1594.0,151.0,1745.0
3119750112,2.0,fix,fix(ai): Fix Claude Code CLI integration issues,5.0,17.0,569.0,280.0,849.0
3212206965,2.0,feat,feat: add buffer pool for audio conversion,4.0,8.0,1240.0,51.0,1291.0
3154339119,2.0,fix,Fix source path in snapshots for non-child workspaces,2.0,5.0,285.0,4.0,289.0
3251609070,2.0,feat,feat: implement comprehensive configuration validation framework,15.0,79.0,5349.0,1978.0,7327.0
3207914894,2.0,feat,Step 3: Implement MCPProxyService class,1.0,3.0,289.0,3.0,292.0
3234102722,2.0,chore,chore: Convert hive-mind coordination system to TypeScript,5.0,94.0,13214.0,2497.0,15711.0
3212961701,2.0,fix,fix: Add missing logger.js and resolve MCP server issues (v1.0.17),2.0,121.0,20716.0,1304.0,22020.0
3114327280,2.0,refactor,Rename ResourceReference to ResourceTemplateReference in draft spec,1.0,2.0,22.0,22.0,44.0
3029855439,2.0,fix,Fix GO:0036402 proteasome-activating activity term relationships,1.0,1.0,3.0,2.0,5.0
2876533575,2.0,fix,Clarify error message for missing plugin versions,1.0,1.0,62.0,1.0,63.0
3245466752,2.0,fix,Fix `mcp-json` output format to include server name,2.0,5.0,94.0,79.0,173.0
3098322647,2.0,feat,feat: add --catalog-only flag to run bundle command,1.0,1.0,20.0,0.0,20.0
3159415433,2.0,fix,fix: memory leaks and server stability issues,1.0,3.0,132.0,9.0,141.0
3231949586,2.0,feat,feat(swagger): Add Swagger annotations to Batch 1 - Core Authentication & User Management,1.0,25.0,2702.0,545.0,3247.0
3272907868,2.0,feat,feat: Implement secure blockchain key storage with encryption and audit logging,3.0,16.0,2115.0,206.0,2321.0
3165662397,2.0,feat,feat: add proxy support for network-restricted environments,1.0,2.0,26.0,2.0,28.0
2888657232,2.0,fix,Fix assertion error in UniPC scheduler for high step counts,1.0,1.0,2.0,2.0,4.0
2905670458,2.0,feat,Improve the applevel interface of OpArg and OpImpl,10.0,8.0,352.0,48.0,400.0
3185547207,2.0,feat,Add MCP Server Implementation,6.0,13.0,3743.0,108.0,3851.0
3184850059,2.0,refactor,Refactor clint rules: split rules.py into individual rule files,2.0,33.0,702.0,558.0,1260.0
3266316354,2.0,feat,feat: Implement historical APM chart with time-series visualization,4.0,5.0,866.0,104.0,970.0
3164258008,2.0,feat,feat: Quick Win #5 - Documentation consolidation,1.0,6.0,210.0,139.0,349.0
3277329042,2.0,fix,fix: add Windows .cmd parsing fallback for node.exe colocated environments,7.0,1.0,222.0,84.0,306.0
3246796582,2.0,fix,Avoid special-casing diagonals in matrix calcs,1.0,3.0,49.0,73.0,122.0
3132009446,2.0,docs,Investigation: Windows Layered Filesystem for Compiler Hosting,1.0,1.0,272.0,0.0,272.0
3276605733,2.0,feat,Add CPU backend testing support via KernelAbstractions,6.0,4.0,120.0,57.0,177.0
3273580906,2.0,fix,management-api-for-apache-cassandra-5.0: update to v0.1.106,1.0,2.0,30.0,18.0,48.0
2973533797,2.0,feat,Add support for named snapshots with redactions and debug expr,1.0,4.0,97.0,0.0,97.0
2920999550,2.0,feat,Add memory limit option to CLI,5.0,23.0,395.0,126.0,521.0
3138117853,2.0,feat,Add input step type for user interaction,10.0,59.0,1237.0,322.0,1559.0
3197644488,2.0,docs,docs: add release notes for v0.0.4,1.0,1.0,55.0,0.0,55.0
3131363751,2.0,feat,feat: configurable Docker Compose host ports via environment variables,5.0,3.0,31.0,20.0,51.0
3230307499,2.0,feat,Add --quiet flag to bun pm pack command,5.0,129.0,4787.0,1576.0,6363.0
3171901980,2.0,feat,Replace chat textarea with ProseMirror editor,6.0,6.0,460.0,58.0,518.0
3109706862,2.0,fix,fix: return compression info when primary output is disabled,1.0,11.0,1291.0,123.0,1414.0
3210688776,2.0,test,test: trigger CI tests on all platforms,1.0,300.0,4.0,0.0,4.0
3165176791,2.0,feat,feat: Add T-SQL dialect support,30.0,91.0,10781.0,6302.0,17083.0
3226500911,2.0,chore,chore: 强制合并test分支到staging - 以test为主,30.0,177.0,30411.0,24840.0,55251.0
3220367089,2.0,fix,Fix race conditions in myaudio package,3.0,8.0,158.0,90.0,248.0
3166710563,2.0,feat,feat: add comprehensive hotkeys across all menu components,12.0,155.0,49905.0,9539.0,59444.0
3263934382,2.0,feat,Implement Two-way Claude Code Session Sync between Desktop and Mobile Apps,9.0,17.0,2180.0,50.0,2230.0
3160653118,2.0,feat,feat: implement LayerZero v2 settlement system for trustless cross-chain attestation,6.0,16.0,999.0,42.0,1041.0
3243533799,2.0,feat,添加 Mermaid 圖表並整合中文翻譯,17.0,21.0,4635.0,3230.0,7865.0
3132093324,2.0,refactor,Consolidate MoE quantization parameters into FusedMoeQuantConfig,2.0,2.0,487.0,184.0,671.0
3193248030,2.0,feat,feat: add Coder registry links to template creation and editing (cherry-pick #18680),1.0,2.0,35.0,5.0,40.0
3199027461,2.0,feat,feat(notification): add structured logging with privacy scrubbing,18.0,13.0,1461.0,297.0,1758.0
3150229181,2.0,fix,Fix Google model restriction parameter order (follow-up to #60),1.0,1.0,6.0,2.0,8.0
3215730319,2.0,fix,Fix logdet returning finite values for singular matrices on CUDA ,4.0,3.0,260.0,25.0,285.0
3246897503,2.0,build,Bump version to v0.75.0 from rc1,1.0,44.0,46.0,46.0,92.0
3226401427,2.0,fix,Fix Discord presence module error handling (Fixes #5535),1.0,1.0,41.0,18.0,59.0
3276585540,2.0,feat,feat(helm): Enhance Helm chart for ArgoCD integration and external resources,3.0,5.0,455.0,4.0,459.0
3109791380,2.0,fix,fix: prevent UninitializedPropertyAccessException crash in developer menu,1.0,1.0,6.0,2.0,8.0
3118662815,2.0,fix,fix: agent cross interference loop,8.0,7.0,317.0,329.0,646.0
3177654490,2.0,feat,feat: remove redundant column.unique field from schema,6.0,33.0,79.0,548.0,627.0
3245668511,2.0,fix,fix: use proper units in queryStatisticsForQuantity to prevent crashes,2.0,2.0,7.0,2.0,9.0
3164567685,2.0,fix,fix: Complete removal of all mock/placeholder code and fix signature validation (#1007),2.0,11.0,853.0,370.0,1223.0
3224085262,2.0,feat,feat(mobile): Add user setting for default bookmark view mode,8.0,19.0,2618.0,2414.0,5032.0
3166880168,2.0,refactor,♻️ refactor: remove redundant column.unique field from schema,2.0,48.0,324.0,545.0,869.0
3265782173,2.0,chore,chore: remove HashedPostStateProvider trait,1.0,21.0,53.0,168.0,221.0
3133058562,2.0,feat, Add Enhanced BMAD System: Complete Enterprise AI Development Platform with 4-Phase Implementation,8.0,129.0,43847.0,14210.0,58057.0
2985351959,2.0,docs,Add triggering pipelines mini-tutorial (#3495),1.0,3.0,820.0,0.0,820.0
2986431376,2.0,docs,Add Kubernetes schedule documentation and fix heading hierarchy (#3530),1.0,1.0,147.0,7.0,154.0
3230351703,2.0,fix,fix: CI/CD test failures and establish working test baseline,8.0,485.0,24776.0,76987.0,101763.0
3262649320,2.0,fix,fix: implement comprehensive LiveStore events API with streaming and advanced filtering,13.0,37.0,1828.0,601.0,2429.0
3269888763,2.0,fix,Fix DTO boolean handling for database numeric types #13419,10.0,29.0,3004.0,870.0,3874.0
3266763733,2.0,feat,feat: Complete 4-phase authentication integration - Remove duplication & add production hardening,6.0,29.0,4629.0,362.0,4991.0
3274969873,2.0,fix,fix(go): add mutex to prevent concurrent access issues in html-to-markdown,1.0,1.0,6.0,0.0,6.0
2889875255,2.0,feat,feat: Add Amazon Bedrock integration,3.0,7.0,596.0,40.0,636.0
3258270000,2.0,feat,feat: Integrate Commander's draggable/resizable pane system and hotbar,4.0,13.0,1623.0,518.0,2141.0
3176421116,2.0,ci,[Backport stable/2023.2] ci: update CSI job to use ubuntu-latest (#2783),1.0,9.0,27.0,20.0,47.0
2964008111,2.0,docs,Add two mini-tutorials,1.0,6.0,889.0,5.0,894.0
3133544722,2.0,fix,Fix: Remove unnecessary async declarations from synchronous methods,1.0,9.0,57.0,57.0,114.0
3271943252,2.0,fix,fix: add comprehensive global readonly superuser endpoint testing (PROJQUAY-8279),2.0,22.0,1745.0,49.0,1794.0
3203910456,2.0,feat,feat: 解决工具沙箱缓存机制问题，增加forceReinstall参数支持,3.0,2.0,50.0,51.0,101.0
3246684833,2.0,feat,Add `move_nancorrmatrix` and `move_nancovmatrix` functions,3.0,10.0,776.0,351.0,1127.0
3111420697,2.0,feat,feat: add settings.local.json for permission configuration,30.0,20.0,3944.0,212.0,4156.0
3250477735,2.0,perf,Optimize nancorrmatrix and nancovmatrix for cache locality,1.0,2.0,88.0,71.0,159.0
3226060777,2.0,feat,feat: improve audio feedback warning logic and add comprehensive i18n support,3.0,53.0,1976.0,45.0,2021.0
3158802702,2.0,feat,feat: Implement configurable retry policies,6.0,43.0,1858.0,159.0,2017.0
3214782537,2.0,refactor,Major Architecture Refactor - Configuration System Overhaul with RSFC Integration,30.0,64.0,1725.0,1103.0,2828.0
3202135682,2.0,fix,Fix reference_manifest_isolated_test to use temporary directory,2.0,1.0,24.0,18.0,42.0
3150240545,2.0,feat,Add permission handling for tool usage with user dialog,8.0,5.0,635.0,304.0,939.0
2922676503,2.0,feat,OmniMCP: Direct Host Control Bridge Between OmniParser and Claude MCP,24.0,29.0,3811.0,677.0,4488.0
3219102497,2.0,test,Test version update error handling,30.0,90.0,1789.0,2100.0,3889.0
3088173646,2.0,feat,feat: Add Kura Explorer - Web interface for analyzing conversation clusters,27.0,74.0,9828.0,3450.0,13278.0
2912546402,2.0,feat,Add GitHub API caching to prevent rate limiting,1.0,4.0,130.0,13.0,143.0
3221520140,2.0,fix,fix: unify static file paths across Deno and Node.js builds,2.0,4.0,11.0,8.0,19.0
3258872453,2.0,fix,fix: resolve hive-mind sessions.forEach error (fixes #453),1.0,2.0,130.0,1.0,131.0
3138362649,2.0,feat,✨ feat: implement MODEXP precompile (EIP-198) with EIP-2565 gas optimization,8.0,25.0,12709.0,1127.0,13836.0
2915204489,2.0,docs,docs: improve search and navigation with examples browser,1.0,2.0,424.0,0.0,424.0
2888099084,2.0,chore,chore: add CLAUDE.md with development guide,1.0,1.0,35.0,0.0,35.0
3105926969,2.0,feat,[Not Live; disabled by default] Add Claude Explain feature for AI-powered assembly explanations,30.0,117.0,10702.0,1970.0,12672.0
3206405566,2.0,feat,Implement comprehensive CI/CD pipeline with GitHub Actions,1.0,6.0,752.0,2.0,754.0
3112345209,2.0,docs,Remove outdated note about Claude.ai MCP support,1.0,1.0,9.0,2.0,11.0
